,Unnamed: 0,frame_number,x_angle,y_angle,z_angle,product 0,product 1,product 2,product 3,product 4,product 5,product 6,seconds
42,42,730,-10.315605,-13.941482999999998,-1.954544,39895.75398836863,45477.9537197845,66213.63768064782,56520.61072903327,75454.56826007679,83062.28807824137,83897.21600775082,24.333333333333332
43,43,731,-11.581795,-14.161858,-1.950974,39815.6086720975,46450.08968792528,67837.00010878283,56770.96198603945,76486.25021858841,83079.86524536813,84533.85428071901,24.366666666666667
44,44,732,-10.90802,-14.457489,-1.939659,39596.26664051263,45712.645685934054,66795.55618466869,56109.20852417807,75465.71327060244,82421.55453811437,83616.29062131082,24.4
45,45,733,-11.403107,-14.609108,-1.187378,39537.411851619334,46068.994799806664,67406.72061280343,56132.9844083994,75801.21362928486,82331.15701348947,83779.76746243754,24.433333333333334
46,46,734,-10.870224,-16.54261,-1.352112,38539.58058646708,44790.33163786498,65984.72371084387,53560.481715268936,73148.58356871622,79203.80380732492,80744.88115043784,24.466666666666665
47,47,735,-10.2313,-18.48127,-0.772453,37848.817904210126,43685.43895324402,64603.531188132736,51071.64755231423,70484.54890081887,76095.26257959563,77690.14068037552,24.5
48,48,736,-10.368019,-19.926743,-0.190002,37534.98178756902,43548.39662867482,64512.719067615704,49565.33940677632,69205.50980183446,73985.92378859929,75927.26035995746,24.533333333333335
49,49,737,-10.193954,-19.422821,0.216385,37625.86255666102,43474.61374605344,64365.09106884871,50027.55158945391,69511.93404894066,74681.78608772058,76439.34325701451,24.566666666666666
50,50,738,-7.739258,-21.738556,-0.344009,37616.596537930185,41430.37819864528,60892.47733727497,46729.126035684014,64793.764729776325,70647.03324586543,71639.11886562906,24.6
51,51,739,-8.68058,-22.876595,-0.082962,37515.425813503665,42173.547385145954,62072.36504844978,45956.04235897697,64739.198994322374,69219.85638541172,70928.34573365004,24.633333333333333
52,52,740,-10.032997,-24.649208,-0.165367,37694.75368087211,43480.06873500204,63875.24678702747,44929.04183801208,64681.26581123466,67062.15536094272,69854.06804054395,24.666666666666668
53,53,741,-10.963318,-21.783119,2.188446,37394.09720256852,43939.481276396364,65092.44483424311,47952.54066093292,68113.31129014173,71450.44814934446,74065.33470809094,24.7
54,54,742,-9.755119,-25.242722,2.43692,37850.42162952842,43401.27647364154,63571.39520684352,44317.691857472586,63913.08720282369,66142.0074768762,68932.09614182793,24.733333333333334
55,55,743,-8.513268,-24.289001000000006,2.366028,37729.69237268904,42258.872712940094,61908.113839826474,44622.14534358622,63364.960857023005,67150.52017739274,69081.94270877594,24.766666666666666
56,56,744,-8.141022,-23.272644,3.472626,37625.47378760447,41826.35684476312,61386.73907916628,45396.83766481418,63836.33130392325,68514.22644043721,70030.67407396631,24.8
57,57,745,-6.299706,-24.709747,4.337784,38259.097674998164,40884.075397034845,59180.149111079074,43564.053529064935,60741.59747645044,66046.11160918184,66904.54469362296,24.833333333333332
58,58,746,-4.136551,-24.855614000000006,5.335968,39036.37931474953,39746.096578657656,56576.070361636164,42996.022063164055,58474.48364445767,65474.84045736938,65185.94622631369,24.866666666666667
59,59,747,-4.317963,-23.560722,6.497589,38734.30575184084,39542.10941775942,56647.19206582187,44173.125400848396,59763.113949245715,67370.54881243322,66919.23616025268,24.9
